sample_id,class_name
VV_-L-GMh8g_230,vgg_235
1MaEJRh2oGY_89,vgg_220
NouxIkaUjNA_60,vgg_47
9zW-E0XdWdw_160,vgg_9
QUALZucjUOk_112,vgg_68
bcZ3ZPQQbYA_11,vgg_97
fhAAzi6MSXw_70,vgg_274
BUREX8aFbMs_30,vgg_66
xA_YD_b7EdA_40,vgg_176
0Z760XNy4VM_30,vgg_272
Xw_JU2taiVM_423,vgg_49
0c78GAZ0jLY_5,vgg_60
1KpqiBhyP7Q_66,vgg_273
KlVO3gu-j70_190,vgg_96
rDL7ha8WS44_174,vgg_42
UoSID1KzWuI_30,vgg_21
kxTwZeZxuvo_36,vgg_295
UaFiUiC_Izo_54,vgg_210
C607Hi51zxg_0,vgg_39
Tk0Sl9H0CE0_324,vgg_256
JEaWbkxzFIk_0,vgg_1
g-ZGr5uUJO8_30,vgg_12
1mGE3y19p9g_129,vgg_252
O99ncoIkg2U_0,vgg_85
PHNkzsSrofY_214,vgg_152
8je0jX-O_Eg_40,vgg_240
w_JPN_jEzuw_135,vgg_252
BxnLAGsByCI_10,vgg_7
ErOQx6MhANI_30,vgg_2
Ke78LgKo0bA_61,vgg_62
kWPAWeNuBKc_506,vgg_106
vRhXMOIFct8_293,vgg_127
DLMKy0_82iw_150,vgg_92
P4x12uMeVVc_86,vgg_42
Kwj9hb-2We0_30,vgg_40
ereEhTuBlwA_0,vgg_3
6xlV_D4yJDc_30,vgg_14
eNf20D3BlIs_15,vgg_267
K76Ua0dvUd0_41,vgg_290
X0fdzmuGk7Y_11,vgg_24
k0hXSVmpVZk_30,vgg_121
Nns8o0ZwcFg_408,vgg_241
YVWCiLMmIaw_683,vgg_38
f32jsHUKso4_37,vgg_245
PVlHAhDRc78_288,vgg_67
aDKmQyQPjGQ_0,vgg_47
hl6DOlVU-CQ_24,vgg_301
CD5VBM6pClk_30,vgg_169
GjZbmBXxTBw_340,vgg_48
5x2orPz0jq0_12,vgg_207
fK9v-WqcoJA_22,vgg_222
EWWyukVobq8_9,vgg_95
sE7fflraCpY_9,vgg_177
BfrgQGGlUMk_65,vgg_249
vJybBPq4gtU_212,vgg_213
I-bNKpYykUY_1034,vgg_257
GXuqtCdONDs_91,vgg_24
f-3r6Pou7UM_15,vgg_213
WatvT8A8iug_100,vgg_162
ssUcIXMQ9Sk_0,vgg_113
DDlAcAppYtE_26,vgg_163
KuFurXDu4l8_0,vgg_115
LPvJFjsxMj8_30,vgg_165
PeEy6rXMLyg_35,vgg_82
TwbVQetLqfM_3,vgg_230
3_M9ZMo5TiU_130,vgg_55
sx3mEMFomNw_0,vgg_154
007P6bFgRCU_10,vgg_111
QSaX7QfeWog_30,vgg_114
Gq18sNMO6UY_500,vgg_82
OwkOp5fVJK4_470,vgg_85
OtWlvdhCJj4_51,vgg_131
nEYrJNAXS3E_57,vgg_24
CT7CrLxIuQI_30,vgg_185
SgfHJ5fkMiY_40,vgg_148
BI96CRWSZd4_223,vgg_175
pXxTz9z4t8w_210,vgg_67
xc0092TjO14_63,vgg_307
MRFsJIQMxs0_250,vgg_50
G2jq2X-00n4_0,vgg_191
PLSAAmBa0Rc_310,vgg_12
VfxxIQpT-dQ_574,vgg_175
6GHOpiH_d7c_24,vgg_251
OAyewg0sAeY_0,vgg_250
Ez2GgfIG9v4_70,vgg_158
JpOT3z8wZlc_30,vgg_83
0G50t4FlbIA_60,vgg_133
F9bJVVYgFl4_73,vgg_75
DpxmQlaOtDg_194,vgg_298
w_mRCETV-aU_4,vgg_225
xlDCxKFtteE_90,vgg_100
qnUax_XrBC8_10,vgg_155
MmMtqNIzmjg_75,vgg_174
Slcg717UTrM_4,vgg_227
hflYLQsp9VY_2,vgg_285
8s2sjbnkhQw_1145,vgg_268
c0Oe4MG96Zo_7,vgg_280
SFMXcbyHbF0_11,vgg_147
bsi2kUrwjf8_30,vgg_23
V9EFYFKlYbE_30,vgg_149
yFV4SbZv10s_72,vgg_230
MetDvJdgZ64_63,vgg_160
davLHMXIHDM_320,vgg_193
F2JQ0swc7kU_177,vgg_123
rMrXgKbKssw_51,vgg_199
TkrtTUPxHNI_30,vgg_52
0hjqlmdPT6g_50,vgg_191
LjzOeolKo94_84,vgg_62
Xb7lSqbJYog_490,vgg_12
3sflCnetnS0_30,vgg_63
72-UFjSlpvM_314,vgg_248
p1gQTumLv5M_20,vgg_92
F5e-SEICJP4_60,vgg_189
UYo1QYMJSXM_14,vgg_287
6qtIvxTeL1c_30,vgg_171
VHMrs4fni58_100,vgg_258
2ke9wf3Ajkg_80,vgg_63
m0GjXTf9Ls4_171,vgg_24
Le2MGWRa_SE_30,vgg_244
e9EUmQBO498_0,vgg_44
S5-JYwnAqbU_7,vgg_62
-OxoxrlzLXA_45,vgg_141
GdKodhqDt80_265,vgg_265
42QgE4mM55I_30,vgg_13
_5A8lI5UEgo_30,vgg_41
TP_CVBCc4-U_90,vgg_133
BUyHfzUvQX0_5,vgg_104
-JUBdOr8Hes_30,vgg_20
KiyyzCJy3Vk_77,vgg_230
ZwAplWOatRo_20,vgg_276
yRek1QAtFgU_13,vgg_253
NWL-P08eM-U_30,vgg_149
h6zc38gOkA4_130,vgg_46
CaYNuuW9rt4_11,vgg_166
T-8xETNgtvE_30,vgg_14
-rqhMzJRYoc_30,vgg_223
ABCUrbSmLuo_30,vgg_144
cRCeYK81z_I_13,vgg_206
nzpnWuk3RjU_170,vgg_151
3R-I6lSQFe0_30,vgg_126
uI6wFzp1KdI_78,vgg_218
tptTsP3_G3w_834,vgg_142
dbunjNOhz2w_210,vgg_183
hNubz3rGwrA_0,vgg_33
fri3IgZex_c_184,vgg_253
KUrZc88Ma3g_10,vgg_113
f4w6aJMNXSk_30,vgg_162
FHrLulSgRpI_39,vgg_76
Cd4YOq17N6w_62,vgg_273
aZ2SllViDNM_165,vgg_293
Xx2YziXzVkg_30,vgg_112
xnMI64kXQA8_252,vgg_137
bWKYTH7OYXk_220,vgg_187
4LwaSleY1Vc_380,vgg_103
KWCQUZQ9D-Q_30,vgg_5
7oNljd7R1f8_19,vgg_2
S-97VTLvW80_1,vgg_308
E9ulxBBGUVc_350,vgg_242
AvHfghF3JUc_63,vgg_24
NvzT72qSSIE_30,vgg_66
0Rjyih3W0Is_0,vgg_30
DmJL3kSguyw_23,vgg_265
LsCo2xiQd4I_95,vgg_230
yO5YnmljmoQ_1,vgg_288
H1NUFnNDcd0_30,vgg_93
PsfcOZvBcQk_24,vgg_195
L28CnhmeAD4_30,vgg_83
DAbcAA6XbfE_117,vgg_251
fH4p_x1ZvN0_124,vgg_230
eWsnTX9zkHI_530,vgg_28
qDGFFpUsf04_395,vgg_168
y3l39BAMaRY_34,vgg_85
Av2DNdWzziA_35,vgg_222
5faEEBTatTg_4,vgg_140
TP50fDa5Cls_0,vgg_255
Cmb7oRnRLio_83,vgg_302
ByndCEEPsu4_90,vgg_25
Uv3K_pEUlX8_20,vgg_12
Olfiy3sCF88_30,vgg_159
-ABOfhcXwt8_17,vgg_215
asKuYgAcyIk_30,vgg_162
I1GC1yWdM_c_30,vgg_274
Xt7KQzo7qV4_90,vgg_78
y326JABrGY8_5,vgg_307
1W-KLZJwXkc_10,vgg_143
S6Y0ppbB65E_0,vgg_136
X31MyiqFP2E_37,vgg_241
71T8pe3yPTQ_47,vgg_76
_eBYRnly4m8_97,vgg_94
rf_2xYkZcM4_30,vgg_45
aDTCjyFFbkA_142,vgg_62
keVZ4cpnWXU_490,vgg_180
qaKNCtImO9Q_242,vgg_73
bMYhXjEJl_8_70,vgg_66
QMrxyrv_KXc_226,vgg_109
rFwJ2L-geWw_30,vgg_297
B9Aaspp7sy8_463,vgg_222
1KpqiBhyP7Q_8,vgg_273
4UCZF_UnG10_27,vgg_8
5Hvz5Dn0IHA_118,vgg_60
aTdpU4HGxXA_109,vgg_239
00QQLLcny14_83,vgg_89
8O-hCtPfef8_44,vgg_103
FFUSdzyhgZo_290,vgg_151
0OLYyjqNdn4_352,vgg_157
Mmq9YFHY_80_0,vgg_175
6lJjWi0OMTc_0,vgg_278
6wg3GJZk7Q0_1,vgg_274
aec791kXVms_11,vgg_219
qFW6oa3jgg8_210,vgg_47
aP4t-BGt2O0_43,vgg_283
6r-V0mrdTnQ_119,vgg_212
Jikk3-uCa8w_260,vgg_171
EJIxgOSgE-E_0,vgg_127
cWWzSdDG-xc_33,vgg_186
2U-4QHS0QBc_40,vgg_50
5akzQ9B7na8_30,vgg_277
b8AzwUMbgb4_21,vgg_227
4ZSad2HmTJE_30,vgg_126
4MRzQbAIyV4_90,vgg_191
9q3JJ7Fhvbs_70,vgg_110
gaHt8mT4u9U_30,vgg_135
RtXrVvUM8Jo_13,vgg_297
89PzuqeWWYQ_24,vgg_249
BjR_ixR8TUw_30,vgg_1
UcRfbzTOipc_50,vgg_210
7gTiMEazgmE_30,vgg_36
wCQ1f3-d0wk_30,vgg_223
Q5uKTmF5ut0_170,vgg_169
FQHhMhW4sHw_40,vgg_59
mvWKq_ex9h0_198,vgg_265
s87IYYmn1fQ_60,vgg_34
d1oaZO31t4o_15,vgg_51
cjSTp2d8mBI_459,vgg_269
przrSPZgOkY_90,vgg_242
EU0Vrwxs7pU_170,vgg_96
GafN7X_ifI0_30,vgg_99
XPxukUQmF00_30,vgg_61
yHmPnRTpwGg_42,vgg_286
BLEthZXy35s_250,vgg_39
Ip0faarZ9c0_253,vgg_189
j1JUsTMZcuY_4,vgg_255
k5rDbr_0Ik8_200,vgg_258
Wx65BBbjCIQ_120,vgg_74
y7BjYF0OAv0_237,vgg_188
scoFHRlgDjs_9,vgg_261
Qu4HdM0sAOM_59,vgg_260
HCVBXcpBIU0_199,vgg_251
WD2mC7r0gc8_215,vgg_198
QXnJ2manIdI_30,vgg_10
8m1ketVhQCM_78,vgg_68
McM8ub5JMi4_220,vgg_180
-NRx0SBMjo0_24,vgg_305
rkQr7lgIjpY_179,vgg_239
NpBQ1NpljTQ_410,vgg_58
U6y8tw4vKXc_105,vgg_221
PFQ2jBACRGg_0,vgg_52
zjDpx3YU7mU_270,vgg_278
20Nlj7Cz4E0_30,vgg_13
Wd5l_FHGWfE_170,vgg_55
2kQCMxf0onU_36,vgg_244
Au0x7cWDCV8_380,vgg_138
0IzhjqyDzt8_0,vgg_119
YNv7mzbUUHc_50,vgg_29
zml4ewtfjbA_117,vgg_116
UynKj68K0VU_30,vgg_93
VN5W9piaNOw_63,vgg_170
W3eYhk9XxRs_46,vgg_261
vE_dAmxPPLY_70,vgg_20
DwbUT8dyp2Y_85,vgg_73
NdFLZw6nxxw_190,vgg_278
